Ruang,Praktikum,LAB1,LAB2,LAB3,LSS
Minggu,Hari,-,-,-,-
0, Senin,-,-,-,-
0, Selasa,-,-,-,-
0, Rabu,-,-,-,-
0, Kamis,-,-,-,-
0, Jumat,-,-,-,-
1, Senin,-,-,-,-
1, Selasa,-,-,-,-
1, Rabu,-,-,-,-
1, Kamis,-,-,-,-
1, Jumat,-,-,-,-
2, Senin,-,-,-,-
2, Selasa,-,-,-,-
2, Rabu,-,-,-,-
2, Kamis,-,-,-,-
2, Jumat,-,-,-,-
3, Senin,-,-,-,-
3, Selasa,-,-,-,-
3, Rabu,-,-,-,-
3, Kamis,-,-,-,-
3, Jumat,-,-,-,-
4, Senin,-,-,-,-
4, Selasa,-,-,-,-
4, Rabu,-,-,-,-
4, Kamis,-,-,-,-
4, Jumat,-,-,-,-
5, Senin,-,-,-,-
5, Selasa,-,-,-,-
5, Rabu,-,-,-,-
5, Kamis,-,-,-,-
5, Jumat,-,-,-,-
6, Senin,-,-,-,-
6, Selasa,-,-,-,-
6, Rabu,-,-,-,-
6, Kamis,-,-,-,-
6, Jumat,-,-,-,-
7, Senin,-,-,-,-
7, Selasa,-,-,-,-
7, Rabu,-,-,-,-
7, Kamis,-,-,-,-
7, Jumat,-,-,-,-
8, Senin,-,-,-,-
8, Selasa,-,-,-,-
8, Rabu,-,-,-,-
8, Kamis,-,-,-,-
8, Jumat,-,-,-,-
9, Senin,-,-,-,-
9, Selasa,-,-,-,-
9, Rabu,-,-,-,-
9, Kamis,-,-,-,-
9, Jumat,-,-,-,-
10, Senin,-,-,-,-
10, Selasa,-,-,-,-
10, Rabu,-,-,-,-
10, Kamis,-,-,-,-
10, Jumat,-,-,-,-
11, Senin,-,-,-,-
11, Selasa,-,Amir-,-,-
11, Rabu,-,-,-,-
11, Kamis,-,-,-,-
11, Jumat,-,-,-,-
